label,x,y
2021-12-06 19:00:00 || General Non-Productive: 1 ||,-3.386797618,-0.053483138
2021-12-06 20:00:00 || General Non-Productive: 1 || Guitar: 8 ||,-3.430097336,-0.034197319
2021-12-06 21:00:00 || General Non-Productive: 6 || Watching Movies: 9 ||,-3.844890321,0.13149021
2021-12-06 23:00:00 ||,-3.33359672,-0.090519982
2021-06-13 04:00:00 || Photography: 1 || Cinemtography Studies: 5 ||,-2.465073869,-0.323783144
2021-06-13 05:00:00 || General Non-Productive: 10 || Cinemtography Studies: 43 ||,-4.204258744,0.319136781
2021-06-13 12:00:00 || General Non-Productive: 8 ||,-3.759203903,0.205774768
2021-06-13 13:00:00 || Visualization: 16 || General Non-Productive: 2 || Social: 16 || OS: 2 ||,-2.161048593,12.07081663
2021-06-13 14:00:00 || Visualization: 20 || Photography: 7 || Script Development: 8 ||,4.460150161,-1.303665781
2021-06-13 15:00:00 || Visualization: 33 || General Non-Productive: 2 || Social: 15 || Script Development: 5 ||,-0.762626204,11.13105294
2021-06-13 16:00:00 || Visualization: 57 || General Non-Productive: 1 ||,0.695717668,1.204994656
2021-06-13 17:00:00 || Visualization: 37 || Photography: 2 ||,1.132259286,0.250723513
2021-06-13 18:00:00 ||,-3.33359672,-0.090519982
2021-06-13 20:00:00 || General Non-Productive: 11 || Listening to Music: 1 || Cinemtography Studies: 13 ||,-4.029432962,0.387498503
2021-06-13 21:00:00 || General Non-Productive: 16 || Photography: 5 || Listening to Music: 5 || Cinemtography Studies: 11 || Daydreaming: 60 ||,0.254044127,-0.402186529
2021-06-13 23:00:00 || General Non-Productive: 7 || Netflix: 60 ||,-27.23082518,-35.63903603
2021-06-14 02:00:00 || General Non-Productive: 32 || Cinemtography Studies: 18 ||,-5.177787191,1.111105296
2021-06-14 03:00:00 || General Non-Productive: 54 ||,-6.206445205,1.909469585
2021-06-14 04:00:00 || General Non-Productive: 13 ||,-4.025208392,0.390958988
2021-06-14 11:00:00 || General Non-Productive: 12 ||,-3.972007494,0.353922144
2021-06-14 12:00:00 || General Non-Productive: 15 ||,-4.131610188,0.465032675
2021-06-14 16:00:00 || General Non-Productive: 10 ||,-3.865605699,0.279848456
2021-06-14 17:00:00 || General Non-Productive: 4 ||,-3.546400311,0.057627393
2021-06-14 18:00:00 || General Non-Productive: 17 || Listening to Music: 13 ||,-4.345169512,1.302665749
2021-06-14 19:00:00 || General Non-Productive: 2 || Listening to Music: 12 || OS: 5 ||,-4.033327582,2.256481287
2021-06-14 20:00:00 || Food: 60 || OS: 1 ||,-6.527063766,1.395334446
2021-06-14 22:00:00 || Netflix: 42 ||,-19.80902634,-25.18621395
2021-06-14 23:00:00 || General Non-Productive: 5 || Netflix: 35 ||,-17.32912589,-20.81841407
2021-06-15 00:00:00 || Netflix: 60 ||,-26.86417182,-35.91990265
2021-06-15 01:00:00 || Netflix: 40 ||,-19.02448207,-23.99118091
2021-06-15 11:00:00 || General Non-Productive: 14 ||,-4.07840929,0.427995832
2021-06-15 12:00:00 || General Non-Productive: 50 ||,-5.993641613,1.76132221
2021-06-15 13:00:00 || General Non-Productive: 21 || Social: 60 || Listening to Music: 32 ||,-3.462782759,44.26036918
2021-06-15 16:00:00 || General Non-Productive: 4 || Netflix: 47 ||,-21.9831906,-28.02564919
2021-06-15 17:00:00 || General Non-Productive: 2 || Netflix: 60 ||,-26.97057362,-35.84582896
2021-06-15 18:00:00 || Visualization: 30 ||,-1.184904464,0.571836752
2021-06-15 19:00:00 || Visualization: 29 || General Non-Productive: 1 || Listening to Music: 28 ||,-1.540529267,2.231384485
2021-06-15 20:00:00 || General Non-Productive: 3 || Social: 60 || Listening to Music: 12 || Netflix: 2 ||,-3.113347273,41.26718363
2021-06-16 00:00:00 || Netflix: 9 ||,-6.864045924,-5.46816869
2021-06-16 10:00:00 || General Non-Productive: 60 || Netflix: 5 ||,-8.481258333,-0.834283249
2021-06-16 11:00:00 || General Non-Productive: 6 ||,-3.652802107,0.131701081
2021-06-16 12:00:00 || Visualization: 14 || General Non-Productive: 17 ||,-3.235288931,0.848206172
