,Modern Political Thought,Visualization,Food,General Non-Productive,Photography,Social,Watching Movies,Sleep,Cleaning,Listening to Music,OS,Netflix,Computational Models etc,Guitar,Nintendo Switch,Cinemtography Studies,Script Development,Daydreaming,Long
2021-10-06 18:00:00,0,0,0,1,47,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2021-10-06 19:00:00,0,0,0,0,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2021-10-06 20:00:00,0,0,0,5,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
2021-10-06 22:00:00,0,0,0,0,0,60,0,0,0,0,0,11,0,0,0,0,0,0,3
2021-11-06 01:00:00,0,0,0,0,17,0,0,0,0,0,0,28,0,0,0,0,0,0,0
2021-11-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06 10:00:00,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2021-11-06 11:00:00,0,0,0,3,0,60,0,0,0,0,0,13,0,0,0,0,0,0,4
2021-11-06 16:00:00,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-11-06 20:00:00,0,0,0,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-06 21:00:00,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06 01:00:00,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
2021-12-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1
2021-12-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-12-06 10:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06 11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
2021-12-06 14:00:00,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
2021-12-06 15:00:00,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2021-12-06 16:00:00,0,0,0,1,0,0,46,0,0,1,0,0,0,0,0,0,0,0,0
2021-12-06 17:00:00,0,3,0,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
2021-12-06 18:00:00,0,0,0,34,0,0,5,0,0,0,0,3,0,0,60,0,0,0,1
2021-12-06 19:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06 20:00:00,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2021-12-06 21:00:00,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13 04:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2021-06-13 05:00:00,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
2021-06-13 12:00:00,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13 13:00:00,0,16,0,2,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0
2021-06-13 14:00:00,0,20,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0
2021-06-13 15:00:00,0,33,0,2,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0
2021-06-13 16:00:00,0,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13 17:00:00,0,37,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13 18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13 20:00:00,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
2021-06-13 21:00:00,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,11,0,60,1
2021-06-13 23:00:00,0,0,0,7,0,0,0,0,0,0,0,60,0,0,0,0,0,0,2
2021-06-14 02:00:00,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
2021-06-14 03:00:00,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 04:00:00,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 11:00:00,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 12:00:00,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 16:00:00,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 17:00:00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14 18:00:00,0,0,0,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2021-06-14 19:00:00,0,0,0,2,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0
2021-06-14 20:00:00,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
2021-06-14 22:00:00,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0
2021-06-14 23:00:00,0,0,0,5,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
2021-06-15 00:00:00,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1
2021-06-15 01:00:00,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
2021-06-15 11:00:00,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15 12:00:00,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15 13:00:00,0,0,0,21,0,60,0,0,0,32,0,0,0,0,0,0,0,0,2
2021-06-15 16:00:00,0,0,0,4,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
2021-06-15 17:00:00,0,0,0,2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1
2021-06-15 18:00:00,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15 19:00:00,0,29,0,1,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
2021-06-15 20:00:00,0,0,0,3,0,60,0,0,0,12,0,2,0,0,0,0,0,0,4
2021-06-16 00:00:00,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
2021-06-16 10:00:00,0,0,0,60,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1
2021-06-16 11:00:00,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16 12:00:00,0,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
